"myHashNum";"numCalls";"avgduration";"avgweekend1weekday0";"avgday1night0";"avgout1in0";"avgmissed1";"avgSMS1";"avgVoiceCall1";"avglongDuration1";"dn1";"dn2";"dn3";"dn4";"dn5"
21;0.83773558017742;1.52047733144343;1.25671769617814;0.810706033376123;0.797924104350092;0;0.93132617683152;1.01553358288395;2.40652373404522;0.0154798761609907;0.00154798761609907;0.00154798761609907;0.000773993808049536;0.0239938080495356
22;2.22661298941893;2.33274108640592;1.12520072797345;0.747819854514335;0.97962496079416;0;1.4777620244719;0.891933262726138;4.02352548594311;0;0.0157251019219569;0.00029120559114735;0;0
23;1.98281378032705;0.566932698318643;0.849177461371017;0.701677364142062;0.96496411915833;0;0.852721813827696;1.03331339084316;0.296070743305247;0.116742969260955;0.0412034009156311;0.00817527795945062;0.0117724002616089;0
24;0.112821974420179;1.71539197128091;0.746886486100703;0.727376979032948;0.986019583209789;0;1.1216029452063;0.972494185686143;3.05180612330024;0;0.0862068965517241;0;0;0
25;2.01458548576722;0.494019775906923;0.826446133533169;0.688048780487805;0.944688487108777;0;1.9699879665924;0.780594879091916;0.265704513222658;0.000643707756678468;0;0.0170582555519794;0.000321853878339234;0
26;0.560219459189854;0.722221273327883;1.35251400635193;0.358237056054771;1.24913490065283;0;0.40765848950949;1.13398388970186;0.789521982147326;0;0.00810185185185185;0;0.00231481481481481;0.0659722222222222
27;0.371534433004382;0.413373601854373;1.64315026942155;1.2061296534018;0.960908992748419;0;0.198408254202757;1.18131496468293;0.129056477851005;0;0;0.0279232111692845;0.0453752181500873;0
28;0.745662474616125;1.44827264004412;0.988812760946365;1.06653401797176;1.20156514853657;0;0.330138324616063;1.1515184589306;0.394760991073663;0;0;0;0;0
30;0.981680857885924;0.672764663145612;0.472486885772401;1.06614462986735;1.02813051131271;0;0.984451884241002;1.00351688509083;0.303662300825895;0;0;0.000660501981505945;0;0
31;0.168584559478428;0.585285263732955;1.24859936480748;1.39284124946513;1.08583807945374;0;0.500357427948483;1.11301597824652;0;0;0.00384615384615385;0;0;0
32;1.27800064127685;0.514712077538098;1.24372836598508;0.69252674368849;0.883861590960119;0;0.668408135060107;1.07500397502338;0.0759155752064737;0;0;0.0644342973110096;0;0
33;0.846813210303181;0.266637767359648;0.634853513185598;0.708102267864784;1.01752479608679;0;1.08745070472877;0.980219205696006;0.0607324601651789;0;0;0;0;0
34;0.29891339199829;0.454871953825634;0.527691539092888;0.591285836542576;1.0488740425634;0;0.611487734264235;1.08787900837315;0.326436973387837;0;0;0;0.00867678958785249;0
35;0.395525312622466;1.13604405804007;1.01154408878421;0.893645699614891;1.0381123609371;0;0.835374644061335;1.03723721053071;0.873029114874447;0.00327868852459016;0;0;0.00327868852459016;0
36;2.97486907264242;0.706619433991096;1.14630838953717;0.909805305947796;0.803694861164195;0;2.01931898061549;0.769436516855446;0.561775256527905;0.00021795989537925;0.00588491717523976;0.0150392327811683;0.000653879686137751;0
37;0.431835833125512;1.96025225772072;1.00017842486529;1.06692340607617;0.864209824512091;0;0.195155659871564;1.18205068087434;1.93584716776508;0;0.0435435435435435;0.015015015015015;0;0
38;1.52698706758346;0.405720887620582;0.352335581486636;0.524116388532306;1.09472816427547;0;0.609861437098638;1.08824686646886;0.129056477851005;0;0;0.000849256900212314;0;0
39;1.23001888204069;0.415023373274851;0.616993184170146;0.926743688489516;0.823814526813367;0;3.40058737326201;0.457002374234303;0.318845415867189;0;0.194517659462309;0;0;0
40;3.00469557162706;0.850762296092187;0.613745851621882;0.721730851519041;0.976661599186918;0;0.00325259433119274;1.22545793616786;0.425127221156253;0.00107898144151921;0;0;0.00539490720759603;0
41;1.17425629698244;0.985234857370779;1.12032972915105;0.877291399229782;1.24960279985397;0;1.05655105858244;0.987208509514454;1.21464920330358;0.00165654334621756;0;0;0;0
42;0.734639638034843;0.699532972454218;1.11708239660279;1.62043859649123;1.13980245398563;0;0.00487889149678911;1.22509007807215;0.197380495536832;0.101500441306267;0.00617828773168579;0;0;0
44;0.797534646763333;0.865600275485924;1.39960032830175;1.52756953359007;1.02454328410394;0;1.68809645788903;0.844356949014598;0.371986318511721;0.0032520325203252;0.0455284552845528;0;0;0.00650406504065041
46;0.411735366418469;0.909336238920792;1.71296791920922;1.52075524176294;1.34848549769564;0;0;1.22619365235928;0.83507132727121;0;0.121259842519685;0;0;0
49;2.22207417435605;0.633408440145077;0.427024230096706;1.22774069319641;0.902421592605479;0;1.89192570264378;0.79825206768589;0.463085008759489;0.0137146192004669;0;0.00554420776189087;0;0
50;0.621817663614664;4.58585226459656;1.35413767262606;0.909610611895593;1.24741927024864;0;0.141487853406884;1.1941899980327;8.9428547593226;0;0;0;0;0
51;0.261954469343404;0.9046999411795;1.48727830710488;1.80715019255456;1.06556244740419;0;0.523125588266832;1.10786596490661;0.561775256527905;0.0198019801980198;0.0247524752475248;0;0;0
